"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"Champion Bank","80134","53107.0","1","57031","Champion Bank"
"Willamette Valley Bank","97301","160851.0","1","57033","Willamette Valley Bank"
"Oxford University Bank","38655","118839.0","1","57034","Oxford University Bank"
"Nicolet National Bank","54301","1169656.0","1","57038","Nicolet National Bank"
"Covenant Bank","38614","223446.0","1","57039","Covenant Bank"
"Bank Of Southern California, N.A.","92130","331225.0","1","57044","Bank Of Southern California, N.A."
"Signature Bank","10017","2.9969468E7","1","57053","Signature Bank"
"Enterprise National Bank N.J.","7033","179100.0","1","57055","Enterprise National Bank N.J."
"Celtic Bank","84111","415174.0","1","57056","Celtic Bank"
"Peoples Bank","72150","126226.0","1","57058","Peoples Bank"
"Cornerstone National Bank & Trust Company","60067","464585.0","1","57061","Cornerstone National Bank & Trust Co"
"Pacific Commerce Bank","90013","348385.0","1","57065","Pacific Commerce Bank"
"First Commercial Bank","39211","367275.0","1","57069","First Commercial Bank"
"Georgia Banking Company","30339","365105.0","1","57071","Georgia Banking Company"
"Advantage Bank","80537","263660.0","1","57072","Advantage Bank"
"Community Bank Of Santa Maria","93454","216007.0","1","57073","Community Bank Of Santa Maria"
"Bankcda","83814","95901.0","1","57074","Bankcda"
"Westfield Bank, Fsb","44251","1023224.0","1","57077","Westfield Bank, Fsb"
"World's Foremost Bank","69160","4634560.0","1","57079","World's Foremost Bank"
"Northbrook Bank And Trust Company","60062","1419735.0","1","57082","Northbrook Bank And Trust Company"
"Plus International Bank","33131","115733.0","1","57083","Plus International Bank"
"Cumberland Bank And Trust","37040","167035.0","1","57091","Cumberland Bank And Trust"
"Traditions First Bank","37061","116519.0","1","57092","Traditions First Bank"
"Northwestern Mutual Wealth Management","53202","189219.0","1","57093","Northwestern Mutual Wealth Managemen"
"Sound Banking Company","28557","158065.0","1","57095","Sound Banking Company"
"Northstar Bank","48413","501243.0","1","57097","Northstar Bank"
"Premier Valley Bank","93720","655374.0","1","57098","Premier Valley Bank"
"Mission Valley Bank","91352","269789.0","1","57101","Mission Valley Bank"
"Bank Of Brenham, National Association","77833","136517.0","1","57102","Bank Of Brenham, National Association"
"Schaumburg Bank & Trust Company, National Association","60173","819804.0","1","57103","Schaumburg Bank & Trust Company, National Association"
"Everence Trust Company","46527","6561.0","1","57109","Everence Trust Company"
"Landmark Community Bank","18640","271584.0","1","57112","Landmark Community Bank"
"American Founders Bank, Inc.","40507","276826.0","1","57113","American Founders Bank, Inc."
"United Bank Of El Paso Del Norte","79912","208449.0","1","57119","United Bank Of El Paso Del Norte"
"Uniti Bank","90621","218914.0","1","57120","Uniti Bank"
"First Century Bank, National Association","30501","109575.0","1","57123","First Century Bank, National Association"
"First Community Bank Of Central Alabama","36092","327810.0","1","57124","First Community Bank Of Central Alab"
"Chelten Hills Savings Bank","19001","31533.0","1","57125","Chelten Hills Savings Bank"
"Guardian Bank","31602","287987.0","1","57127","Guardian Bank"
"Community Federal Savings Bank","11421","144505.0","1","57129","Community Federal Savings Bank"
"Beach Community Bank","32548","542845.0","1","57131","Beach Community Bank"
"Leader Bank, National Association","2476","984231.0","1","57134","Leader Bank, National Association"
"Crescom Bank","29401","1324646.0","1","57135","Crescom Bank"
"Mission Bank","86401","90255.0","1","57137","Mission Bank"
"Community Bank Of Missouri","64085","49626.0","1","57141","Community Bank Of Missouri"
"American State Bank & Trust Company","67530","336951.0","1","57144","American State Bank & Trust Company"
"Greater Hudson Bank","10941","409307.0","1","57145","Greater Hudson Bank"
"National Advisors Trust Company, Fsb","64131","7204.0","1","57160","National Advisors Trust Company, Fsb"
"Main Street Bank Corp.","26003","343306.0","1","57162","Main Street Bank Corp."
"Washington Business Bank","98506","67003.0","1","57167","Washington Business Bank"
"American Patriot Bank","37745","66465.0","1","57169","American Patriot Bank"
"Commerce West Bank","92612","459042.0","1","57176","Commerce West Bank"
"The Freedom Bank Of Virginia","22030","381368.0","1","57184","The Freedom Bank Of Virginia"
"Gogebic Range Bank","49938","67494.0","1","57192","Gogebic Range Bank"
"Bnc National Bank","85308","900664.0","1","57197","Bnc National Bank"
"Barclays Bank Delaware","19801","2.6347516E7","1","57203","Barclays Bank Delaware"
"Intercontinental Bank","33144","165059.0","1","57214","Intercontinental Bank"
"Pascack Community Bank","7463","402717.0","1","57215","Pascack Community Bank"
"Embassy Bank For The Lehigh Valley","18017","773226.0","1","57228","Embassy Bank For The Lehigh Valley"
"Douglas National Bank","31533","154775.0","1","57230","Douglas National Bank"
"Pcsb Commercial Bank","10509","43040.0","1","57232","Pcsb Commercial Bank"
"Cedar Rapids Bank And Trust Company","52401","865459.0","1","57244","Cedar Rapids Bank And Trust Company"
"Venture Bank","55435","524925.0","1","57249","Venture Bank"
"Cornerstone Bank","66221","165807.0","1","57250","Cornerstone Bank"
"First Chatham Bank","31401","364024.0","1","57252","First Chatham Bank"
"Freedom National Bank","2828","111118.0","1","57254","Freedom National Bank"
"Frederick County Bank","21701","355251.0","1","57255","Frederick County Bank"
"Affinity Bank","30328","259480.0","1","57264","Affinity Bank"
"Citizens Community Federal National Association","54720","565881.0","1","57265","Citizens Community Federal National"
"Signature Bank, National Association","43623","695943.0","1","57269","Signature Bank, National Association"
"First Commerce Bank","66508","59974.0","1","57273","First Commerce Bank"
"Grand Bank, National Association","8619","198532.0","1","57274","Grand Bank, National Association"
"Gateway Community Bank","61073","94428.0","1","57275","Gateway Community Bank"
"Victory Community Bank","41017","160019.0","1","57277","Victory Community Bank"
"Commerce Bank Of Arizona","85716","170036.0","1","57279","Commerce Bank Of Arizona"
"Flatirons Bank","80302","127563.0","1","57280","Flatirons Bank"
"Citizens Bank Of Pennsylvania","19103","3.4865322E7","1","57282","Citizens Bank Of Pennsylvania"
"Enerbank Usa","84106","1060699.0","1","57293","Enerbank Usa"
"Amg National Trust Bank","80302","279964.0","1","57295","Amg National Trust Bank"
"1st Bank Yuma","85364","224733.0","1","57298","1st Bank Yuma"
"United Community Bank Of West Kentucky, Inc.","42437","220655.0","1","57301","United Community Bank Of West Kentucky, Inc."
"Stifel Bank And Trust","63102","4785386.0","1","57311","Stifel Bank And Trust"
"Town & Country Bank","89147","131440.0","1","57312","Town & Country Bank"
"Citizens National Bank","23487","55346.0","1","57320","Citizens National Bank"
"Farmers Bank","80610","226185.0","1","57335","Farmers Bank"
"Drake Bank","55107","86196.0","1","57336","Drake Bank"
"Orange County Business Bank","92614","199991.0","1","57338","Orange County Business Bank"
"Southeast Bank","37934","780524.0","1","57348","Southeast Bank"
"The Business Bank Of Saint Louis","63105","553089.0","1","57358","The Business Bank Of Saint Louis"
"American Eagle Bank","60177","173926.0","1","57359","American Eagle Bank"
"Cheyenne State Bank","82001","45470.0","1","57363","Cheyenne State Bank"
"Mwabank","61201","273960.0","1","57366","Mwabank"
"Bankwell Bank","6840","1208337.0","1","57368","Bankwell Bank"
"U. S. Century Bank","33172","906457.0","1","57369","U. S. Century Bank"
"Oregon Coast Bank","97365","183530.0","1","57373","Oregon Coast Bank"
"York Traditions Bank","17402","348421.0","1","57377","York Traditions Bank"
"Grand Bank","75248","608837.0","1","57378","Grand Bank"
"Independence Bank","2818","38660.0","1","57379","Independence Bank"
"Floridian Community Bank, Inc.","33328","396794.0","1","57382","Floridian Community Bank, Inc."
"United Bank & Trust National Association","50158","109502.0","1","57391","United Bank & Trust National Associa"
"Community National Bank","65708","96205.0","1","57395","Community National Bank"
"Bank Of Lincoln County","37334","130115.0","1","57396","Bank Of Lincoln County"
"Optum Bank, Inc.","84120","3912042.0","1","57408","Optum Bank, Inc."
"Horizon Community Bank","86403","194998.0","1","57411","Horizon Community Bank"
"Worthington National Bank","76010","182860.0","1","57414","Worthington National Bank"
"Forcht Bank, National Association","40509","985800.0","1","57415","Forcht Bank, National Association"
"Patriot Bank","38053","274623.0","1","57416","Patriot Bank"
"Commercial Bank Of California","92612","320439.0","1","57417","Commercial Bank Of California"
"Highlands Community Bank","24426","131216.0","1","57420","Highlands Community Bank"
"County Commerce Bank","93003","252547.0","1","57423","County Commerce Bank"
"Alliance Banking Company","40391","55994.0","1","57424","Alliance Banking Company"
"Sanibel Captiva Community Bank","33957","284927.0","1","57425","Sanibel Captiva Community Bank"
"Seacoast Commerce Bank","92128","463357.0","1","57428","Seacoast Commerce Bank"
"Commerce National Bank & Trust","32789","80231.0","1","57429","Commerce National Bank & Trust"
"American Continental Bank","91748","201532.0","1","57444","American Continental Bank"
"United American Bank","94401","295719.0","1","57447","United American Bank"
"Medallion Bank","84121","1004628.0","1","57449","Medallion Bank"
"Charles Schwab Bank","89502","1.2241E8","1","57450","Charles Schwab Bank"
"Sound Community Bank","98121","502982.0","1","57451","Sound Community Bank"
"Prairie Mountain Bank","59405","82096.0","1","57453","Prairie Mountain Bank"
"Pacific City Bank","90010","998136.0","1","57463","Pacific City Bank"
"First Commerce Bank","37091","290311.0","1","57465","First Commerce Bank"
"Community Bank Owatonna","55060","51753.0","1","57468","Community Bank Owatonna"
"Members Trust Company","33637","31252.0","1","57470","Members Trust Company"
"Eagle Community Bank","55369","20974.0","1","57477","Eagle Community Bank"
"Citizens Bank & Trust","35976","366151.0","1","57483","Citizens Bank & Trust"
"Bankers Trust Company","52401","487409.0","1","57484","Bankers Trust Company"
"Xenith Bank","23219","991859.0","1","57487","Xenith Bank"
"Metropolitan Capital Bank & Trust","60611","204576.0","1","57488","Metropolitan Capital Bank & Trust"
